time,cpu-percentage[benchi-conduit],memory-usage[benchi-conduit],cpu-percentage[benchi-kafka-connect],memory-usage[benchi-kafka-connect]
2025-05-08T15:07:16Z,,,2.995852,1818.421875
2025-05-08T15:07:17Z,,,226.271738,1828.343750
2025-05-08T15:07:18Z,,,230.470700,1832.382812
2025-05-08T15:07:19Z,,,221.833668,2042.449219
2025-05-08T15:07:20Z,,,236.384561,2091.765625
2025-05-08T15:07:21Z,,,234.696000,2113.207031
2025-05-08T15:07:22Z,,,240.896784,2135.496094
2025-05-08T15:07:23Z,,,232.310909,2157.113281
2025-05-08T15:07:24Z,,,181.631357,2176.636719
2025-05-08T15:07:25Z,,,178.944615,2202.070312
2025-05-08T15:07:26Z,,,170.763023,2223.382812
2025-05-08T15:07:27Z,,,198.735013,2251.707031
2025-05-08T15:07:28Z,,,181.814637,2277.343750
2025-05-08T15:07:29Z,,,183.297449,2295.925781
2025-05-08T15:07:30Z,,,173.994055,2317.250000
2025-05-08T15:07:31Z,,,181.280310,2335.839844
2025-05-08T15:07:32Z,,,164.619751,2362.312500
2025-05-08T15:07:33Z,,,187.199487,2405.968750
2025-05-08T15:07:34Z,,,184.961108,2426.320312
2025-05-08T15:07:35Z,,,160.172354,2461.257812
2025-05-08T15:07:36Z,,,170.451272,2482.781250
2025-05-08T15:07:37Z,,,186.497436,2504.625000
2025-05-08T15:07:38Z,,,171.375338,2525.679688
2025-05-08T15:07:39Z,,,176.383715,2553.890625
2025-05-08T15:07:40Z,,,178.396031,2585.718750
2025-05-08T15:07:41Z,,,208.647301,2611.875000
2025-05-08T15:07:42Z,,,178.171224,2631.765625
2025-05-08T15:07:43Z,,,172.003728,2669.976562
2025-05-08T15:07:44Z,,,176.579949,2694.484375
2025-05-08T15:07:45Z,,,183.700508,2715.828125
2025-05-08T15:07:46Z,,,167.797207,2735.203125
2025-05-08T15:07:47Z,,,170.142111,2755.808594
2025-05-08T15:07:48Z,,,169.610175,2787.117188
2025-05-08T15:07:49Z,,,185.446802,2819.613281
2025-05-08T15:07:50Z,,,167.711881,2838.230469
2025-05-08T15:07:51Z,,,175.641717,2856.808594
2025-05-08T15:07:52Z,,,174.380952,2880.507812
2025-05-08T15:07:53Z,,,171.559082,2902.503906
2025-05-08T15:07:54Z,,,184.686617,2923.074219
2025-05-08T15:07:55Z,,,166.601914,2944.507812
2025-05-08T15:07:56Z,,,178.986087,2969.960938
2025-05-08T15:07:57Z,,,190.428660,2988.460938
2025-05-08T15:07:58Z,,,173.323655,3027.007812
2025-05-08T15:07:59Z,,,177.271407,3047.589844
2025-05-08T15:08:00Z,,,183.258015,3068.816406
2025-05-08T15:08:01Z,,,176.073232,3091.566406
2025-05-08T15:08:02Z,,,176.471595,3110.804688
2025-05-08T15:08:03Z,,,176.755102,3149.042969
2025-05-08T15:08:04Z,,,167.709677,3151.621094
2025-05-08T15:08:05Z,,,187.864473,3194.691406
2025-05-08T15:08:06Z,,,203.213096,3225.449219
2025-05-08T15:08:07Z,,,181.148030,3232.875000
2025-05-08T15:08:08Z,,,172.734900,3272.175781
2025-05-08T15:08:09Z,,,170.310481,3278.250000
2025-05-08T15:08:10Z,,,180.505400,3321.406250
2025-05-08T15:08:11Z,,,171.867747,3331.292969
2025-05-08T15:08:12Z,,,175.764020,3331.523438
2025-05-08T15:08:13Z,,,174.317594,3369.523438
2025-05-08T15:08:14Z,,,171.398875,3391.660156
2025-05-08T15:08:15Z,,,183.699144,3416.367188
2025-05-08T15:08:16Z,,,170.535300,3434.996094
