time,msg-rate-in-per-second[postgres.public.employees],msg-megabytes-in-per-second[postgres.public.employees],msg-megabytes-out-per-second[postgres.public.employees]
2025-05-08T15:07:20Z,36826.000000,0.484157,
2025-05-08T15:07:21Z,42769.000000,0.505187,
2025-05-08T15:07:22Z,43384.000000,0.570366,
2025-05-08T15:07:23Z,60671.000000,0.762382,
2025-05-08T15:07:24Z,64353.000000,0.679272,
2025-05-08T15:07:25Z,69721.000000,0.962414,
2025-05-08T15:07:26Z,61733.000000,0.779527,
2025-05-08T15:07:27Z,58501.000000,0.802401,
2025-05-08T15:07:28Z,66638.000000,0.748200,
2025-05-08T15:07:29Z,74252.000000,0.913953,
2025-05-08T15:07:30Z,66598.000000,0.930870,
2025-05-08T15:07:31Z,74015.000000,0.846261,
2025-05-08T15:07:32Z,67435.000000,0.829905,
2025-05-08T15:07:33Z,71256.000000,0.911965,
2025-05-08T15:07:34Z,62795.000000,0.854795,
2025-05-08T15:07:35Z,71357.000000,0.879178,
2025-05-08T15:07:36Z,68382.000000,0.757438,
2025-05-08T15:07:37Z,61510.000000,0.812751,
2025-05-08T15:07:38Z,73288.000000,0.918310,
2025-05-08T15:07:39Z,65469.000000,0.805252,
2025-05-08T15:07:40Z,65553.000000,0.903251,
2025-05-08T15:07:41Z,79092.000000,0.832268,
2025-05-08T15:07:42Z,58689.000000,0.892098,
2025-05-08T15:07:43Z,76700.000000,0.860627,
2025-05-08T15:07:44Z,69592.000000,0.893111,
2025-05-08T15:07:45Z,63487.000000,0.870752,
2025-05-08T15:07:46Z,73728.000000,0.858369,
2025-05-08T15:07:47Z,71456.000000,0.821314,
2025-05-08T15:07:48Z,65171.000000,0.854662,
2025-05-08T15:07:49Z,74660.000000,0.971930,
2025-05-08T15:07:50Z,70744.000000,0.820189,
2025-05-08T15:07:51Z,63848.000000,0.924863,
2025-05-08T15:07:52Z,72508.000000,0.907004,
2025-05-08T15:07:53Z,70818.000000,0.720544,
2025-05-08T15:07:54Z,68970.000000,0.959154,
2025-05-08T15:07:55Z,66040.000000,0.896646,
2025-05-08T15:07:56Z,64508.000000,0.801163,
2025-05-08T15:07:57Z,73975.000000,0.853928,
2025-05-08T15:07:58Z,68067.000000,0.851846,
2025-05-08T15:07:59Z,69235.000000,0.944303,
2025-05-08T15:08:00Z,70082.000000,0.874584,
2025-05-08T15:08:01Z,66114.000000,0.833823,
2025-05-08T15:08:02Z,78214.000000,0.906025,
2025-05-08T15:08:03Z,69532.000000,0.774103,
2025-05-08T15:08:04Z,63559.000000,0.963649,
2025-05-08T15:08:05Z,76335.000000,0.895594,
2025-05-08T15:08:06Z,76164.000000,0.866765,
2025-05-08T15:08:07Z,55863.000000,0.847977,
2025-05-08T15:08:08Z,73769.000000,0.750607,
2025-05-08T15:08:09Z,63344.000000,0.964259,
2025-05-08T15:08:10Z,75864.000000,0.797768,
2025-05-08T15:08:11Z,60923.000000,0.913160,
2025-05-08T15:08:12Z,75529.000000,0.945041,
2025-05-08T15:08:13Z,78226.000000,0.834910,
2025-05-08T15:08:14Z,62114.000000,0.847098,
2025-05-08T15:08:15Z,71887.000000,0.820274,
2025-05-08T15:08:16Z,71974.000000,0.975529,
